#C4	TSS
1886.467529296875	-0.031989429146051
1776.7349853515625	-0.031591083854437
1488.3712158203125	-0.03119483217597
984.6290893554688	-0.03080633841455
1007.21533203125	-0.030422916635871
1052.802734375	-0.030044034123421
956.5731811523438	-0.029672969132662
977.9085693359375	-0.029303465038538
836.4151611328125	-0.028938554227352
387.2309265136719	-0.02857818827033
349.4418029785156	-0.028223499655724
423.9693603515625	-0.027872053906322
168.1610565185547	-0.027525218203664
-126.7611083984375	-0.027182469144464
-25.78876495361328	-0.026844222098589
-34.78430938720703	-0.026509949937463
-151.78607177734375	-0.026180077344179
-1118.251708984375	-0.025853836908937
-1111.9381103515625	-0.025531895458698
-821.4754028320312	-0.025213962420821
-873.8931274414062	-0.02490022405982
-833.890869140625	-0.024590153247118
-947.689453125	-0.024285141378641
-1119.317138671875	-0.023982748389244
-1236.6424560546875	-0.023684352636337
-1024.5322265625	-0.023389438167214
-1162.27392578125	-0.023097958415747
-1200.806396484375	-0.022810347378254
-1292.50830078125	-0.022526554763317
-1181.8238525390625	-0.022246049717069
-1225.22509765625	-0.021946400403976
-1567.10302734375	-0.021672835573554
-1774.2469482421875	-0.021402914077044
-2044.151123046875	-0.021136119961739
-2542.699951171875	-0.020895766094327
-2889.76708984375	-0.020635323598981
-3021.63427734375	-0.020378600805998
-3054.900634765625	-0.020124841481447
-2965.414794921875	-0.019875183701515
-3113.249755859375	-0.019627703353763
-3495.036376953125	-0.019383536651731
-3862.320068359375	-0.019142182543874
-4274.181640625	-0.018904061987996
-4611.5830078125	-0.018668675795197
-4639.2490234375	-0.018436221405864
-4847.80419921875	-0.018206654116511
-5167.162109375	-0.017978999763727
-5663.3291015625	-0.01775511726737
-6050.8447265625	-0.017534259706736
-5907.30908203125	-0.017315911129117
-6049.27392578125	-0.017081448808312
-6291.5126953125	-0.016868503764272
-7152.39208984375	-0.016658451408148
-7032.37353515625	-0.016450533643365
-7114.3974609375	-0.016257598996162
-7376.2978515625	-0.0160550493747
-8229.6591796875	-0.015855267643929
-7782.52880859375	-0.015657722949982
-7447.36572265625	-0.015471707098186
-7224.99560546875	-0.015279057435691
-7327.2939453125	-0.015089048072696
-7203.45849609375	-0.014901155605912
-7118.4619140625	-0.014716562815011
-7045.1884765625	-0.014533331617713
-7117.6083984375	-0.014352617785335
-6966.84423828125	-0.014173915609717
-6721.7724609375	-0.013997682370245
-6338.5048828125	-0.013823411427438
-5951.095703125	-0.013651547022164
-5308.1826171875	-0.013481579720974
-5222.7392578125	-0.013285837136209
-5095.23974609375	-0.013119835406542
-5075.458984375	-0.01295636035502
-5177.970703125	-0.012794692069292
-5196.23681640625	-0.012663165107369
-4854.81005859375	-0.01250549312681
-4497.376953125	-0.012350032106042
-4911.6640625	-0.012196254916489
-5000.2841796875	-0.012034390121698
-4157.55419921875	-0.011884176172316
-3810.634033203125	-0.011736311018467
-3703.23486328125	-0.011590060777962
-3558.114501953125	-0.011445851065218
-3215.853271484375	-0.011303211562335
-3019.3466796875	-0.011162581853569
-2581.228759765625	-0.01102346368134
-2617.534912109375	-0.010886310599744
-2387.531005859375	-0.010750636458397
-1757.45361328125	-0.010616641491652
-1291.9049072265625	-0.010484330356121
-1144.66455078125	-0.010365811176598
-1095.978759765625	-0.010236755944788
-905.6090698242188	-0.01010955311358
-597.8194580078125	-0.009983699768782
-222.99923706054688	-0.009859408251941
255.01356506347656	-0.009736669249833
445.5390625	-0.009615696966648
946.6322631835938	-0.009495748206973
1315.352294921875	-0.009353699162602
1121.9444580078125	-0.009236955083907
1033.826416015625	-0.009121887385845
1296.5679931640625	-0.009008023887873
1387.5191650390625	-0.008890805765986
1598.2109375	-0.008779756724834
1783.0054931640625	-0.008670321665704
1979.901611328125	-0.008562011644244
2212.779541015625	-0.008470779284835
2621.76904296875	-0.00836512632668
2903.413818359375	-0.008261051028967
3026.71484375	-0.008158016949892
3113.45361328125	-0.008070568554103
3113.436767578125	-0.00797008164227
3080.61328125	-0.007871101610363
3633.140625	-0.0077730929479
3593.51171875	-0.007676323410124
3599.784912109375	-0.007580507546663
3576.354248046875	-0.007486377842724
3935.76220703125	-0.007393160834908
4178.54052734375	-0.007283233106136
4302.89013671875	-0.007192343473434
4317.75244140625	-0.007102796807885
4422.82568359375	-0.00701414514333
4390.1875	-0.006920867599547
4231.14501953125	-0.006834391038865
4000.85888671875	-0.00674899853766
3701.0869140625	-0.006664658896625
2818.6689453125	-0.006584473885596
3256.760009765625	-0.006502213422209
3559.13720703125	-0.006421210244298
3805.204345703125	-0.006340984720737
4269.123046875	-0.006264846771955
4399.3095703125	-0.006186593789607
4100.509765625	-0.006109558511525
3910.42724609375	-0.006032991688699
4025.012451171875	-0.005977652035654
4169.20458984375	-0.005903216078877
4036.390869140625	-0.005829940550029
4052.356689453125	-0.005757345817983
4167.87548828125	-0.005685905460268
4574.08544921875	-0.005615108646452
4071.4755859375	-0.005545428488404
3896.406494140625	-0.005476384423673
3345.93603515625	-0.005407954100519
2663.943603515625	-0.005340625997633
2554.304931640625	-0.005274367984384
2523.58447265625	-0.005208684131503
2337.224365234375	-0.005126187577844
2005.01513671875	-0.005062144249678
2347.589111328125	-0.004999137949198
2344.018798828125	-0.004936656914651
2231.1513671875	-0.004872113931924
2015.2041015625	-0.004810940474272
2170.269775390625	-0.004751005209982
2039.286376953125	-0.004691573791206
1727.904296875	-0.004637900739908
1598.9747314453125	-0.004579937551171
1530.0716552734375	-0.004522922914475
1349.3682861328125	-0.004466388840228
1365.469482421875	-0.004428680520505
1393.724853515625	-0.004373537842184
1640.6849365234375	-0.004319094121456
1646.6036376953125	-0.004265313502401
1209.787109375	-0.004212444648147
850.4527587890625	-0.004160003736615
609.6506958007812	-0.004108461085707
863.1639404296875	-0.004057317972183
750.3504028320312	-0.003975810483098
779.8465576171875	-0.003925919067115
