1.1297 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
126.3587 	EXP 	text_4: autoDraw = False
126.3587 	EXP 	text_2: autoDraw = False
126.3587 	EXP 	image: autoDraw = False
126.3587 	EXP 	text_4: autoDraw = False
126.3587 	EXP 	image: image = 'radosc1.bmp'
126.3587 	EXP 	text_2: autoDraw = True
129.0928 	EXP 	image: autoDraw = True
129.1147 	EXP 	text_2: autoDraw = False
133.0914 	EXP 	image: autoDraw = False
133.0914 	EXP 	text_4: autoDraw = True
135.0767 	EXP 	New trial (rep=1, index=1): OrderedDict([('zdj', 'smutek1.bmp')])
135.0926 	EXP 	text_4: autoDraw = False
135.0926 	EXP 	text_2: autoDraw = False
135.0926 	EXP 	image: autoDraw = False
135.0926 	EXP 	text_4: autoDraw = False
135.0926 	EXP 	image: image = 'smutek1.bmp'
135.0926 	EXP 	text_2: autoDraw = True
137.5783 	EXP 	image: autoDraw = True
137.5931 	EXP 	text_2: autoDraw = False
141.5832 	EXP 	text_4: autoDraw = True
141.5915 	EXP 	image: autoDraw = False
143.5767 	EXP 	New trial (rep=1, index=2): OrderedDict([('zdj', 'wstret1.bmp')])
143.5917 	EXP 	text_4: autoDraw = False
143.5917 	EXP 	text_2: autoDraw = False
143.5917 	EXP 	image: autoDraw = False
143.5917 	EXP 	text_4: autoDraw = False
143.5917 	EXP 	image: image = 'wstret1.bmp'
143.5917 	EXP 	text_2: autoDraw = True
145.7599 	EXP 	image: autoDraw = True
145.7765 	EXP 	text_2: autoDraw = False
149.7604 	EXP 	image: autoDraw = False
149.7604 	EXP 	text_4: autoDraw = True
151.7621 	EXP 	New trial (rep=1, index=3): OrderedDict([('zdj', 'neutralna2.bmp')])
151.7756 	EXP 	text_4: autoDraw = False
151.7756 	EXP 	text_2: autoDraw = False
151.7756 	EXP 	image: autoDraw = False
151.7756 	EXP 	text_4: autoDraw = False
151.7756 	EXP 	image: image = 'neutralna2.bmp'
151.7756 	EXP 	text_2: autoDraw = True
153.7655 	EXP 	image: autoDraw = True
153.7792 	EXP 	text_2: autoDraw = False
157.7601 	EXP 	text_4: autoDraw = True
157.7822 	EXP 	image: autoDraw = False
159.7604 	EXP 	New trial (rep=1, index=4): OrderedDict([('zdj', 'radosc2.bmp')])
159.7793 	EXP 	text_4: autoDraw = False
159.7793 	EXP 	text_2: autoDraw = False
159.7793 	EXP 	image: autoDraw = False
159.7793 	EXP 	text_4: autoDraw = False
159.7793 	EXP 	image: image = 'radosc2.bmp'
159.7793 	EXP 	text_2: autoDraw = True
161.9597 	EXP 	image: autoDraw = True
161.9767 	EXP 	text_2: autoDraw = False
165.9587 	EXP 	image: autoDraw = False
165.9587 	EXP 	text_4: autoDraw = True
167.9461 	EXP 	New trial (rep=1, index=5): OrderedDict([('zdj', 'wstret2.bmp')])
167.9639 	EXP 	text_4: autoDraw = False
167.9639 	EXP 	text_2: autoDraw = False
167.9639 	EXP 	image: autoDraw = False
167.9639 	EXP 	text_4: autoDraw = False
167.9639 	EXP 	image: image = 'wstret2.bmp'
167.9639 	EXP 	text_2: autoDraw = True
170.9263 	EXP 	image: autoDraw = True
170.9434 	EXP 	text_2: autoDraw = False
174.9256 	EXP 	image: autoDraw = False
174.9256 	EXP 	text_4: autoDraw = True
176.9113 	EXP 	New trial (rep=1, index=6): OrderedDict([('zdj', 'zaskoczenie1.bmp')])
176.9288 	EXP 	text_4: autoDraw = False
176.9288 	EXP 	text_2: autoDraw = False
176.9288 	EXP 	image: autoDraw = False
176.9288 	EXP 	text_4: autoDraw = False
176.9288 	EXP 	image: image = 'zaskoczenie1.bmp'
176.9288 	EXP 	text_2: autoDraw = True
179.2864 	EXP 	image: autoDraw = True
179.2934 	EXP 	text_2: autoDraw = False
183.2770 	EXP 	text_4: autoDraw = True
183.3005 	EXP 	image: autoDraw = False
185.2787 	EXP 	New trial (rep=1, index=7): OrderedDict([('zdj', 'strach1.bmp')])
185.3013 	EXP 	text_4: autoDraw = False
185.3013 	EXP 	text_2: autoDraw = False
185.3013 	EXP 	image: autoDraw = False
185.3013 	EXP 	text_4: autoDraw = False
185.3013 	EXP 	image: image = 'strach1.bmp'
185.3013 	EXP 	text_2: autoDraw = True
187.3444 	EXP 	image: autoDraw = True
187.3686 	EXP 	text_2: autoDraw = False
191.3426 	EXP 	image: autoDraw = False
191.3426 	EXP 	text_4: autoDraw = True
193.3267 	EXP 	New trial (rep=1, index=8): OrderedDict([('zdj', 'strach2.bmp')])
193.3433 	EXP 	text_4: autoDraw = False
193.3433 	EXP 	text_2: autoDraw = False
193.3433 	EXP 	image: autoDraw = False
193.3433 	EXP 	text_4: autoDraw = False
193.3433 	EXP 	image: image = 'strach2.bmp'
193.3433 	EXP 	text_2: autoDraw = True
196.3128 	EXP 	image: autoDraw = True
196.3283 	EXP 	text_2: autoDraw = False
200.3107 	EXP 	text_4: autoDraw = True
200.3358 	EXP 	image: autoDraw = False
202.3107 	EXP 	New trial (rep=1, index=9): OrderedDict([('zdj', 'smutek2.bmp')])
202.3274 	EXP 	text_4: autoDraw = False
202.3274 	EXP 	text_2: autoDraw = False
