zdj,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,image.started,image.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
zlosc2.bmp,0,12,12,13,,,,,,,110.00815335799962,112.29243500700068,112.2771248150002,116.28283543600082,116.28283543600082,110.00815335799962,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zaskoczenie2.bmp,0,13,13,11,,,,,,,118.29181815000084,120.375576249,120.3591781819996,124.35792652100099,124.35792652100099,118.29181815000084,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
radosc1.bmp,1,0,14,2,,,,,,,126.35866873600025,129.11469030400076,129.0927587260012,133.09139423899978,133.09139423899978,126.35866873600025,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
smutek1.bmp,1,1,15,4,,,,,,,135.09255347399994,137.59309226000005,137.57826963300067,141.59154268299972,141.58320832800018,135.09255347399994,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
wstret1.bmp,1,2,16,8,,,,,,,143.59174279199942,145.77654550900115,145.75992920300087,149.76042519899966,149.76042519899966,143.59174279199942,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
neutralna2.bmp,1,3,17,1,,,,,,,151.77555919900078,153.77919565900083,153.76546696200057,157.7822268460004,157.7600963519999,151.77555919900078,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
radosc2.bmp,1,4,18,3,,,,,,,159.77931642400108,161.97671850799998,161.95974701500018,165.95871908700065,165.95871908700065,159.77931642400108,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
wstret2.bmp,1,5,19,9,,,,,,,167.9638761669994,170.94342719899942,170.92626702900088,174.92557870900055,174.92557870900055,167.9638761669994,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zaskoczenie1.bmp,1,6,20,10,,,,,,,176.92882151599952,179.29343388300003,179.28637830200023,183.3004866049996,183.27700725999966,176.92882151599952,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
strach1.bmp,1,7,21,6,,,,,,,185.3013477280001,187.36863450500095,187.34441358299955,191.3426282849996,191.3426282849996,185.3013477280001,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
strach2.bmp,1,8,22,7,,,,,,,193.34329570299997,196.3283487130011,196.31279937200088,200.3358120360008,200.31072790300095,193.34329570299997,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
smutek2.bmp,1,9,23,5,,,,,,,202.32740171099977,204.60311683200052,204.58338858699972,208.58029462500053,208.5722563800009,202.32740171099977,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zlosc2.bmp,1,10,24,13,,,,,,,210.57622463600092,212.87478559100055,212.8514171250008,216.86713017200054,216.84416034199967,210.57622463600092,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zaskoczenie2.bmp,1,11,25,11,,,,,,,218.8432673290008,220.91511044400067,220.89396742899953,224.89249158200073,224.89249158200073,218.8432673290008,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
neutralna1.bmp,1,12,26,0,,,,,,,226.89364996800032,229.22777155900076,229.21065417499995,233.2118150540009,233.2118150540009,226.89364996800032,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zlosc1.bmp,1,13,27,12,,,,,,,235.22703311999976,237.7144769229999,237.6804406600004,241.69299904800027,241.69299904800027,235.22703311999976,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
